setup,model,strategy,assets,attacked_ticker,attack_day,target_signal,target_label,baseline_signal,baseline_label,attacked_signal,attacked_label,success,already_target,valid,min_delta_norm,min_abs_delta_norm,prediction_shift,delta_final_cr,objective,timing_policy
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,30,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,30,-1,SELL,1,BUY,,NA,False,False,True,,,,,force_sell,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,90,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,90,-1,SELL,1,BUY,,NA,False,False,True,,,,,force_sell,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,149,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,149,-1,SELL,1,BUY,,NA,False,False,True,,,,,force_sell,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,209,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,209,-1,SELL,1,BUY,,NA,False,False,True,,,,,force_sell,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,268,1,BUY,0,HOLD,,NA,False,False,True,,,,,force_buy,uniform
LSTM_rolling_All_BB,LSTM_rolling,BB,"GOOGL,AMZN,AAPL,PEP,JNJ,PFE,MRK,ABBV,PG,KO,WMT,JPM,BAC,GS,V,XOM,CVX,COP,BP,BA,MMM,HON,GE,T,VZ,TMUS,HSY,DUK,SO,EXC,AEP,AMT,PLD,SPG,BHP,RIO,VALE,FCX",GOOGL,268,-1,SELL,0,HOLD,,NA,False,False,True,,,,,force_sell,uniform
